City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,guerrero negro,27.9769,-114.0611,300.92,58,13,7.47,MX,1691611386
159,tazacorte,28.629,-17.9293,297.69,89,0,6.17,ES,1691611389
160,codrington,-38.2667,141.9667,283.53,81,60,7.08,AU,1691611390
161,punta arenas,-53.15,-70.9167,276.2,92,100,2.98,CL,1691611214
162,san patricio,28.017,-97.5169,313.55,40,0,9.1,US,1691611390
163,mvomero,-6.25,38.6667,294.14,86,13,0.98,TZ,1691611391
164,okahandja,-21.9833,16.9167,294.5,26,99,2.86,NA,1691611391
165,burutu,5.3509,5.5076,298.48,84,79,3.45,NG,1691611391
166,chonchi,-42.6128,-73.8092,283.71,97,100,3.31,CL,1691611317
167,dobrinka,52.1653,40.4731,292.03,62,20,3.01,RU,1691611391
168,petropavlovsk-kamchatsky,53.0452,158.6483,284.48,87,0,2.0,RU,1691611392
169,pama,11.2497,0.7075,296.72,96,100,2.87,BF,1691611392
170,quchan,37.106,58.5095,295.3,33,0,3.55,IR,1691611392
171,sarangani,5.4033,125.4636,300.61,79,99,5.69,PH,1691611392
172,mogocha,53.7333,119.7667,284.69,93,56,0.78,RU,1691611392
173,tondano,1.3038,124.9112,294.2,95,65,1.62,ID,1691611393
174,vilyuysk,63.7553,121.6247,285.49,61,2,2.99,RU,1691611393
175,aldinga beach,-35.2793,138.4604,285.19,84,0,4.9,AU,1691611393
176,sangmelima,2.9333,11.9833,293.18,99,68,1.16,CM,1691611393
177,akureyri,65.6835,-18.0878,283.11,71,40,3.6,IS,1691611393
178,bilibino,68.0546,166.4372,282.67,49,99,1.44,RU,1691611394
179,kosh-agach,50.0,88.6667,285.16,78,100,0.76,RU,1691611394
180,vaskelovo,60.3693,30.3534,290.27,71,100,0.69,RU,1691611395
181,chulym,55.0997,80.9572,287.49,79,10,2.3,RU,1691611395
182,port lincoln,-34.7333,135.8667,285.43,63,99,4.44,AU,1691611395
183,tual,-5.6667,132.75,298.67,80,100,10.38,ID,1691611396
184,ljusdal,61.8288,16.0913,283.91,93,93,2.66,SE,1691611396
185,nurota,40.5614,65.6886,299.76,32,0,1.69,UZ,1691611396
186,bridgewater,44.3835,-64.5155,294.64,93,96,5.14,CA,1691611397
187,constantia,44.1833,28.65,290.76,63,0,4.46,RO,1691611397
188,barra de santo antonio,-9.4047,-35.5072,297.75,76,71,4.44,BR,1691611397
189,boyolangu,-8.1181,111.8935,293.88,94,95,1.4,ID,1691611397
190,san antonio oeste,-40.7319,-64.9477,291.88,32,100,8.15,AR,1691611397
191,dapa,9.7594,126.0531,300.74,76,100,2.6,PH,1691611317
192,hasaki,35.7333,140.8333,299.43,85,32,4.5,JP,1691611398
193,sovetskaya gavan',48.9723,140.2878,287.56,82,100,1.93,RU,1691611398
194,isangel,-19.55,169.2667,293.21,72,48,6.94,VU,1691611398
195,necochea,-38.5473,-58.7368,286.94,67,100,4.9,AR,1691611398
196,lobujya,27.95,86.8167,277.74,93,98,0.95,NP,1691611398
197,nyagan,62.1406,65.3936,284.36,71,30,2.17,RU,1691611398
198,smithers,54.7804,-127.1743,289.33,82,75,2.57,CA,1691611399
